n,method,matrix,residual,solution_error,iterations
47,Gaussian,DiagDominant,2.8492675107491184e-13,2.1727492905721985e-15,-
47,Jacobi,DiagDominant,1.0391671060713836e-05,8.760508601719416e-08,10
47,Seidel,DiagDominant,1.4641407639488559e-06,1.2208787939751801e-08,8
48,Gaussian,DiagDominant,2.974111557770179e-13,2.6249203738475144e-15,-
48,Jacobi,DiagDominant,6.414694504493934e-06,5.540831847319928e-08,10
48,Seidel,DiagDominant,7.075368123508571e-07,6.203707077459462e-09,8
49,Gaussian,DiagDominant,3.538474288117394e-13,2.8522145930998398e-15,-
49,Jacobi,DiagDominant,8.145918554444976e-06,6.383260982243824e-08,10
49,Seidel,DiagDominant,1.3169866936954464e-06,1.0204215858870556e-08,8
50,Gaussian,DiagDominant,3.4017117524131846e-13,2.560743305106871e-15,-
50,Jacobi,DiagDominant,9.724312430664922e-06,7.681257259250343e-08,10
50,Seidel,DiagDominant,1.8975918794505941e-06,1.628117815786579e-08,8
